SampleID,PBlueEye,PIntermediateEye,PBrownEye,Full_AUC_BlueEye,Full_AUC_IntermediateEye,Full_AUC_BrownEye,Numb_missingSNPs_Eye,Name_missingSNPs_Eye,AUC_Loss_BlueEye,AUC_Loss_IntermediateEye,AUC_Loss_BrownEye,PBlondHair,PBrownHair,PRedHair,PBlackHair,Full_AUC_BlondHair,Full_AUC_BrownHair,Full_AUC_RedHair,Full_AUC_BlackHair,Numb_missingSNPs_Hair,Name_missingSNPs_Hair,AUC_Loss_BlondHair,AUC_Loss_BrownHair,AUC_Loss_RedHair,AUC_Loss_BlackHair,PLightHair,PDarkHair,Full_AUC_HairShade,Numb_missingSNPs_HairShade,Name_missingSNPs_HairShade,AUC_Loss_HairShade
HG00096,0.925846707834869,0.0570714663918109,0.0170818257733202,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.323874012416899,0.419259447991703,0.239468921335819,0.0173976182555795,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.969824616858215,0.0301753831417853,0.905443611371445,0,,0
HG00097,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.660635833102839,0.27272622577104,0.00405331017623167,0.0625846309498899,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.921106096886131,0.0788939031138687,0.905443611371445,0,,0
HG00099,0.781457203240851,0.144259326682676,0.074283470076473,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.02217118066311,0.508221355989836,0.00450717652847589,0.465100286818578,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.117907312866283,0.882092687133717,0.905443611371445,0,,0
HG00100,0.94890505701397,0.0354135696201772,0.0156813733658527,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.705643084418064,0.25448248949273,0.00202415046032837,0.0378502756288775,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.949156924494552,0.0508430755054482,0.905443611371445,0,,0
HG00101,0.875504409175685,0.0898303829253316,0.0346652078989831,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.30736581871442,0.588478514600606,0.00391598886848879,0.100239677816486,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.744197117313631,0.255802882686369,0.905443611371445,0,,0
HG00102,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.742532937503107,0.207083176397212,0.00518294549887389,0.0452009406008069,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.956968909883102,0.0430310901168978,0.905443611371445,0,,0
HG00103,0.875504409175685,0.0898303829253316,0.0346652078989831,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.0744404268629743,0.808347239000141,0.0444936334922342,0.0727187006446509,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.592410821438985,0.407589178561015,0.905443611371445,0,,0
HG00105,0.875504409175685,0.0898303829253316,0.0346652078989831,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.397223464985463,0.513776524297669,0.00575750045781514,0.0832425102590525,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.847131198249847,0.152868801750153,0.905443611371445,0,,0
HG00106,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.765540864593131,0.189292211143209,0.00772797641347543,0.0374389478501845,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.967926322057071,0.0320736779429287,0.905443611371445,0,,0
HG00107,0.875504409175685,0.0898303829253316,0.0346652078989831,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.366340926878104,0.534428401100064,0.00367153806441785,0.095559133957415,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.803292851325183,0.196707148674817,0.905443611371445,0,,0
